"[T]"	"T"	"AB"	"BC"	"CA"	"mA"	"mB"	"mC"	"cAB"	"cBC"	"cCA"	"ABC"	"BCA"	"CAB"	"ABCA"	"BCAB"	"CABC"
0.	0	0	0	0	1000	1000	1000	0	0	0	0	0	0	0	0	0
0.1	117	963	978	973	1	0	1	1	0	0	0	0	0	1	1	0
0.2	126	969	975	968	2	0	0	0	1	0	0	0	1	1	0	1
0.3	131	974	973	969	1	2	3	0	2	0	0	0	0	2	1	0
0.4	149	971	976	974	1	2	1	0	3	1	0	0	1	3	0	0
0.5	158	971	972	978	0	1	0	1	3	1	1	0	0	0	0	1
0.6	168	974	971	974	1	0	0	1	0	0	0	0	0	0	1	1
0.7	178	969	973	970	0	0	0	1	2	0	0	0	1	2	0	1
0.8	182	978	972	976	1	0	1	1	0	1	0	0	1	0	1	0
0.9	193	972	974	974	1	1	0	0	0	2	0	0	0	1	1	2
1.	196	978	974	976	2	2	1	0	0	1	1	0	0	0	1	1
1.1	212	971	967	975	2	2	0	0	2	1	0	1	1	0	1	0
1.2	219	973	973	979	1	3	0	0	1	1	0	1	0	0	0	1
1.3	232	977	973	975	2	1	1	0	1	1	1	1	0	1	1	0
1.4	244	968	976	969	0	0	0	1	3	1	0	1	0	1	2	2
1.5	255	973	971	975	1	1	0	1	1	2	1	1	0	1	1	1
1.6	264	976	977	977	3	1	1	1	0	1	0	0	0	0	0	1
1.7	271	982	974	973	1	0	2	1	1	1	0	0	0	0	2	2
1.8	282	979	971	971	0	0	1	0	2	0	0	1	0	2	0	0
1.9	296	978	978	971	3	2	1	0	1	2	0	0	0	0	1	0
2.	302	976	980	976	1	0	2	0	1	1	0	0	0	0	1	0
2.1	314	978	984	970	0	0	0	2	2	0	0	0	0	0	0	1
2.2	321	973	978	974	1	2	0	1	0	0	0	1	0	1	0	1
2.3	335	976	970	978	1	2	1	0	1	1	0	0	2	0	1	0
2.4	344	973	977	977	0	3	1	0	0	2	0	2	0	1	1	2
2.5	356	979	965	975	0	1	2	2	2	1	0	0	0	1	0	1
2.6	364	980	975	974	1	1	2	1	0	1	0	0	0	1	2	1
2.7	376	978	981	974	1	2	0	0	1	0	1	1	0	0	1	1
2.8	385	981	972	980	1	1	1	2	0	1	0	0	0	0	1	1
2.9	394	976	979	977	1	1	0	2	1	0	0	0	0	1	1	1
3.	404	977	977	979	0	0	2	1	0	1	0	0	0	0	1	0
3.1	413	975	978	978	2	0	0	0	1	1	1	0	0	1	0	1
3.2	426	983	968	979	1	0	0	2	0	0	0	0	1	1	1	1
3.3	437	979	979	980	1	2	0	0	3	3	0	0	0	0	0	0
3.4	448	978	979	975	0	0	0	2	2	3	0	0	0	1	0	1
3.5	461	978	981	974	0	1	0	1	0	0	0	0	0	1	2	3
3.6	472	976	979	981	1	0	0	0	1	1	1	0	1	0	3	1
3.7	482	984	986	975	0	0	2	2	1	1	0	0	0	0	0	0
3.8	494	979	982	978	0	2	0	1	1	2	0	0	0	1	1	0
3.9	506	980	976	980	0	1	0	1	1	2	0	0	2	1	1	0
4.	513	978	986	974	0	1	0	0	0	2	1	0	0	1	0	0
4.1	522	975	974	978	3	3	1	0	1	2	0	1	0	3	0	1
4.2	533	977	981	979	1	0	2	0	2	0	0	2	0	2	0	1
4.3	553	977	978	980	1	0	1	2	0	1	0	2	0	2	1	0
4.4	558	981	981	976	0	1	0	0	0	2	0	1	0	1	1	1
4.5	570	978	979	981	0	4	0	0	2	2	0	0	0	0	0	1
4.6	575	985	979	985	0	1	0	1	1	1	0	0	0	0	1	2
4.7	581	984	976	983	0	0	0	1	0	1	0	0	1	0	1	1
4.8	586	972	986	986	2	1	1	0	1	1	0	0	0	1	2	0
4.9	598	981	980	981	2	0	0	2	1	1	1	0	1	0	1	1
5.	607	982	986	981	0	0	3	1	1	1	0	0	0	0	2	2
5.1	614	979	978	982	0	0	0	1	0	1	0	1	0	1	1	2
5.2	619	984	988	982	2	0	1	0	2	0	0	0	0	0	0	0
5.3	625	984	982	979	0	0	5	1	0	0	0	0	0	3	1	0
5.4	633	980	983	978	1	1	4	2	0	1	0	0	0	0	0	2
5.5	638	981	985	978	0	1	0	1	2	2	1	0	0	0	0	1
5.6	647	986	987	980	2	1	3	0	0	0	0	1	1	1	0	0
5.7	661	983	981	983	3	1	1	1	1	1	1	0	0	1	0	1
5.8	671	987	990	988	2	0	0	0	0	1	0	0	0	1	1	1
5.9	681	983	983	982	0	2	2	0	1	0	1	0	0	1	0	0
6.	690	987	987	990	1	0	0	3	1	0	0	0	0	0	0	0
6.1	697	983	982	982	2	0	0	1	1	1	0	0	0	2	0	1
6.2	711	987	986	982	1	1	2	0	2	1	0	0	0	0	1	0
6.3	721	987	988	986	0	0	1	1	1	1	0	0	0	1	0	0
6.4	729	985	982	988	1	1	1	2	2	2	0	0	0	0	1	0
6.5	736	985	982	987	0	2	1	1	1	0	0	0	0	1	0	1
6.6	742	988	982	986	0	1	1	1	0	2	0	0	0	0	1	1
6.7	749	985	984	987	0	2	1	0	0	0	0	1	0	2	0	0
6.8	759	984	985	986	0	3	0	0	0	0	0	0	0	1	1	3
6.9	763	988	986	987	1	0	3	0	2	0	0	0	0	0	2	0
7.	766	988	985	988	2	0	2	1	1	0	0	1	0	1	1	0
7.1	772	990	987	986	0	0	1	1	1	0	0	0	0	0	0	1
7.2	775	987	991	985	1	0	0	0	2	1	0	0	0	1	1	0
7.3	778	980	986	985	1	4	2	0	1	0	0	0	1	2	1	1
7.4	782	988	986	988	0	0	1	2	0	0	0	0	0	2	0	0
7.5	786	985	988	989	0	0	0	1	0	0	0	0	0	1	1	0
7.6	790	987	987	987	1	0	2	2	0	1	0	0	0	1	1	0
7.7	794	988	986	987	0	0	2	0	1	1	0	1	0	1	2	1
7.8	798	986	987	989	0	0	0	0	2	2	0	0	1	2	0	0
7.9	803	989	987	985	0	2	0	0	1	2	0	0	0	0	0	1
8.	805	986	984	987	0	1	4	2	2	1	1	0	0	2	1	0
8.1	809	990	986	986	1	1	2	0	0	0	0	0	1	1	1	0
8.2	811	990	989	989	0	0	2	1	1	1	0	0	0	1	1	0
8.3	816	985	989	986	1	0	2	1	1	0	0	0	0	1	1	2
8.4	821	989	990	987	0	0	0	0	0	0	1	1	0	1	1	3
8.5	827	985	982	986	0	1	2	2	1	1	0	1	0	1	1	0
8.6	833	986	990	994	0	1	1	0	1	1	0	1	0	1	1	0
8.7	841	989	991	991	0	1	0	1	1	1	0	0	0	0	1	0
8.8	845	989	989	990	2	0	1	1	1	0	0	1	0	0	1	0
8.9	849	989	986	988	2	1	2	0	0	1	0	0	0	1	0	0
9.	853	991	992	988	0	0	0	0	1	1	1	0	0	0	0	1
9.1	861	987	989	991	0	2	0	3	1	1	0	0	0	0	1	1
9.2	862	990	984	988	1	1	3	3	2	1	0	0	1	0	1	1
9.3	866	991	990	989	1	0	0	1	0	1	0	0	0	1	1	2
9.4	870	992	988	990	0	2	1	1	0	1	0	0	0	0	1	1
9.5	878	992	988	989	0	2	1	5	2	1	0	0	0	0	0	1
9.6	890	992	988	990	1	1	1	0	1	1	0	0	0	0	0	2
9.7	894	988	994	990	1	0	0	0	2	0	0	0	0	1	1	0
9.8	899	989	986	990	1	1	3	2	0	3	0	0	0	0	3	1
9.9	902	990	992	990	1	0	0	0	1	4	0	0	0	1	0	0
10.	908	990	993	992	1	1	0	0	3	1	0	0	0	1	0	1
10.1	911	993	992	991	1	0	2	1	2	0	0	0	1	1	0	0
10.2	915	990	995	989	1	0	1	0	3	0	0	0	0	2	1	0
10.3	918	995	994	990	0	0	3	1	1	1	0	0	0	1	0	0
10.4	920	993	991	993	0	1	2	2	0	0	0	0	1	0	1	0
10.5	922	996	995	993	1	0	1	0	0	0	0	0	0	0	1	1
10.6	925	993	991	990	1	2	1	0	2	2	0	0	0	0	0	0
10.7	929	992	989	994	1	0	2	0	3	1	0	0	0	0	1	1
10.8	936	995	995	992	1	2	1	1	1	1	0	0	0	0	0	0
10.9	940	996	993	995	0	1	1	0	0	0	0	0	0	0	0	0
11.	944	995	996	993	1	0	1	0	0	1	0	0	0	0	0	1
11.1	950	993	997	997	1	0	0	0	0	1	0	0	0	1	1	0
11.2	953	993	995	994	1	1	1	0	2	1	0	0	0	0	2	1
11.3	953	994	995	996	0	0	1	0	1	1	0	0	0	1	1	0
11.4	957	997	995	998	0	0	0	0	0	1	0	0	0	0	0	0
11.5	959	996	994	994	1	0	1	1	2	2	0	0	0	0	0	1
11.6	961	995	995	994	2	0	0	0	1	3	0	0	0	0	0	1
11.7	964	996	994	995	1	1	1	0	0	0	0	0	0	0	0	2
11.8	967	996	994	997	0	1	0	0	1	2	0	0	0	0	1	0
11.9	969	995	995	995	1	0	1	1	2	0	0	0	0	0	0	0
12.	972	996	995	996	0	0	0	2	2	0	0	0	1	0	0	0
12.1	973	997	997	994	0	0	1	1	2	0	0	0	0	1	0	0
12.2	974	996	995	997	0	1	0	1	2	1	0	0	0	0	0	0
12.3	976	994	996	998	0	1	0	1	1	2	0	0	0	0	1	0
12.4	978	995	995	995	1	2	0	2	2	1	0	0	0	0	0	1
12.5	981	996	998	995	1	1	2	0	1	0	0	0	0	0	0	0
12.6	981	997	996	995	1	2	1	0	1	1	0	0	0	0	0	0
12.7	982	999	996	994	0	1	2	3	0	0	1	0	0	0	0	1
12.8	982	997	995	995	1	0	3	2	0	0	0	0	0	0	2	1
12.9	983	996	996	995	1	1	3	1	0	1	0	0	0	0	0	0
13.	987	997	998	995	1	1	1	0	1	1	0	0	0	1	0	0
13.1	989	999	999	995	0	0	1	1	0	0	0	0	0	1	0	0
13.2	990	998	999	998	1	0	0	1	0	1	0	0	0	0	0	0
13.3	990	998	998	999	0	0	0	1	0	1	0	0	0	0	0	0
13.4	990	998	998	998	0	0	1	0	1	1	0	0	0	0	0	0
13.5	990	998	996	998	0	0	0	2	1	1	0	0	1	0	0	0
13.6	993	998	999	998	0	0	0	1	1	1	0	0	0	1	0	0
13.7	992	998	999	997	0	0	1	1	1	0	1	0	0	1	0	0
13.8	993	998	998	998	0	1	1	1	1	0	0	0	0	1	0	0
13.9	992	997	998	997	0	1	1	1	1	0	0	1	0	1	0	0
14.	993	998	997	997	0	2	2	1	0	0	0	0	0	1	0	0
14.1	995	997	998	998	2	2	1	0	0	0	0	0	0	0	0	0
14.2	996	997	998	998	2	2	1	0	1	0	0	0	0	0	0	0
14.3	997	998	998	999	1	2	1	0	0	0	0	0	0	0	0	0
14.4	997	998	998	999	1	2	1	0	0	0	0	0	0	0	0	0
14.5	997	998	998	999	1	2	1	0	0	0	0	0	0	0	0	0
14.6	998	999	999	1000	0	1	0	0	0	0	0	0	0	0	0	0
14.7	998	999	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
14.8	998	999	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
14.9	998	999	999	1000	0	0	0	0	0	1	0	0	0	0	1	0
15.	998	999	999	1000	0	0	0	0	0	1	0	0	0	0	1	0
15.1	998	999	999	1000	0	0	0	0	0	1	0	0	0	0	1	0
15.2	998	999	999	1000	0	0	0	0	0	1	0	0	0	0	1	0
15.3	998	1000	999	1000	0	0	0	0	0	0	0	0	0	0	0	0
15.4	998	1000	999	1000	0	0	0	0	0	0	0	0	0	0	0	0
15.5	998	1000	999	1000	0	0	0	0	0	0	0	0	0	0	0	0
15.6	998	1000	999	999	0	0	1	0	0	0	0	0	0	0	0	0
15.7	998	1000	999	999	0	0	1	0	0	0	0	0	0	0	0	0
15.8	997	1000	999	998	0	0	1	0	0	0	1	0	0	0	0	0
15.9	998	999	999	1000	0	0	0	0	0	1	0	0	0	0	1	0
16.	999	999	999	1000	0	1	0	0	0	1	0	0	0	0	0	0
16.1	999	999	999	1000	0	1	0	0	0	1	0	0	0	0	0	0
16.2	999	999	999	999	1	1	1	0	0	0	0	0	0	0	0	0
16.3	999	999	999	999	1	1	1	0	0	0	0	0	0	0	0	0
16.4	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
16.5	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
16.6	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
16.7	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
16.8	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
16.9	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
17.	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
17.1	998	999	999	998	1	0	1	1	1	0	0	0	0	0	0	0
17.2	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
17.3	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
17.4	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
17.5	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
17.6	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
17.7	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
17.8	998	999	999	999	1	0	0	0	1	0	0	0	1	0	0	0
17.9	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
18.	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
18.1	999	999	1000	1000	0	0	0	0	0	0	0	1	0	0	0	0
18.2	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
18.3	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
18.4	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
18.5	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
18.6	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
18.7	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
18.8	999	999	1000	1000	0	0	0	0	0	0	0	1	0	0	0	0
18.9	999	999	1000	1000	0	0	0	0	0	0	0	1	0	0	0	0
19.	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
19.1	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
19.2	999	999	1000	1000	0	0	0	0	0	0	0	1	0	0	0	0
19.3	999	1000	999	1000	0	0	0	0	0	0	0	0	1	0	0	0
19.4	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
19.5	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
19.6	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
19.7	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
19.8	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
19.9	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
20.	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
20.1	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
20.2	999	1000	1000	999	0	0	0	0	0	0	1	0	0	0	0	0
20.3	997	999	1000	998	0	0	0	0	0	0	2	1	0	0	0	0
20.4	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
20.5	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
20.6	999	999	1000	1000	0	0	0	0	0	0	0	1	0	0	0	0
20.7	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
20.8	999	1000	999	1000	0	0	0	0	0	0	0	0	1	0	0	0
20.9	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
21.	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
21.1	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
21.2	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
21.3	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
21.4	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
21.5	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
21.6	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
21.7	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
21.8	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
21.9	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
22.	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
22.1	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
22.2	999	999	1000	1000	0	0	0	0	0	0	0	1	0	0	0	0
22.3	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
22.4	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
22.5	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
22.6	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
22.7	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
22.8	999	1000	1000	999	0	0	0	0	0	0	1	0	0	0	0	0
22.9	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
23.	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
23.1	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
23.2	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
23.3	999	999	999	1000	0	1	0	0	0	1	0	0	0	0	0	0
23.4	999	999	999	1000	0	1	0	0	0	1	0	0	0	0	0	0
23.5	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
23.6	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
23.7	999	1000	1000	999	0	0	0	0	0	0	1	0	0	0	0	0
23.8	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
23.9	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
24.	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
24.1	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
24.2	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
24.3	999	1000	1000	999	0	0	0	0	0	0	1	0	0	0	0	0
24.4	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
24.5	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
24.6	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
24.7	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
24.8	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
24.9	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
25.	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
25.1	999	999	1000	1000	0	0	0	0	0	0	0	1	0	0	0	0
25.2	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
25.3	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
25.4	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
25.5	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
